id,text,time_stamp,likes,dislikes,retweet
4023,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",11/24/2015,425274,583883,False
4024,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",1/6/2025,606634,22837,False
4025,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",10/26/2019,442751,370205,False
4026,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",7/31/2004,157347,825594,True
4027,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",3/22/2011,49622,623024,False
4028,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",3/3/2004,657929,5745,True
4029,Phasellus in felis. Donec semper sapien a libero. Nam dui.,7/12/2008,305294,250432,False
4030,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,7/1/2014,533539,686778,True
4031,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",6/5/2009,93443,677252,True
4032,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",12/26/2016,222346,324517,False
4033,Sed ante. Vivamus tortor. Duis mattis egestas metus.,8/15/2019,98203,258093,True
4034,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,11/10/2002,110179,33250,False
4035,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1/3/2014,445282,467046,True
4036,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",4/15/2007,309110,442602,False
4037,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,10/5/2001,763621,985868,False
4038,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,4/7/2001,745695,853855,False
4039,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",3/23/2010,822676,72350,True
4040,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2/18/2020,904917,900393,True
4041,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,10/22/2012,892504,796678,False
4042,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1/21/2001,754463,124057,True
4043,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,9/4/2014,669966,879869,True
4044,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",12/19/2011,430723,350253,False
4045,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",3/16/2013,363295,972445,False
4046,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,12/18/2003,779255,957048,True
4047,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,12/15/2012,196978,35205,False
4048,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",9/10/2009,475812,762629,True
4049,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",10/27/2001,498865,170103,False
4050,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",11/17/2010,180782,186154,True
4051,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,4/18/2001,168778,860874,False
4052,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",8/31/2008,296394,424954,True
4053,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",7/17/2007,129941,707624,True
4054,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,5/8/2023,28272,279904,True
4055,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",6/15/2007,921601,458882,False
4056,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",8/26/2021,739337,877010,True
4057,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,11/25/2010,357982,749257,False
4058,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,10/5/2008,81367,530898,False
4059,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",5/4/2009,152362,356817,False
4060,Fusce consequat. Nulla nisl. Nunc nisl.,9/23/2006,403474,991520,False
4061,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",12/28/2024,594275,197005,True
4062,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2/5/2002,63454,242098,False
4063,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",8/10/2000,333716,778944,False
4064,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",9/1/2021,38136,284850,False
4065,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",8/6/2004,706197,608895,True
4066,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,3/4/2012,800808,223075,False
4067,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,4/13/2022,728411,105137,True
4068,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,9/26/2002,150499,110278,False
4069,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",8/20/2017,984073,310450,True
4070,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,1/1/2022,397719,785610,True
4071,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,3/22/2008,138268,345950,False
4072,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,4/18/2010,307114,717804,False
4073,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",9/29/2005,268250,449952,True
4074,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",5/30/2009,289243,504349,True
4075,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,8/4/2008,347531,272008,False
4076,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",9/22/2014,960972,822952,False
4077,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1/13/2006,684501,465147,False
4078,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",12/8/2024,635120,747355,True
4079,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,3/3/2018,565291,904105,True
4080,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,9/24/2006,976260,33926,True
4081,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,10/14/2016,203558,871390,False
4082,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1/27/2019,684691,637432,False
4083,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,11/3/2023,586046,917025,False
4084,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1/7/2013,763582,245344,True
4085,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,2/8/2015,548083,290747,False
4086,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",11/25/2008,738393,413848,True
4087,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",3/29/2011,360267,571173,False
4088,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",7/2/2002,20138,428368,True
4089,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,10/1/2011,52208,600242,False
4090,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",3/5/2005,435486,344206,True
4091,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,11/29/2002,967331,189100,True
4092,Fusce consequat. Nulla nisl. Nunc nisl.,8/21/2009,201717,533390,True
4093,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,8/31/2022,180419,488613,False
4094,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,4/11/2011,896148,196851,True
4095,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",11/3/2010,933264,726836,True
4096,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,11/22/2017,514133,956396,True
4097,In congue. Etiam justo. Etiam pretium iaculis justo.,10/23/2016,380092,620511,False
4098,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2/14/2010,84539,222856,True
4099,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,6/27/2020,556337,185673,True
4100,Sed ante. Vivamus tortor. Duis mattis egestas metus.,12/8/2012,994164,370623,True
4101,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,9/18/2009,745377,937952,False
4102,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,11/9/2018,107760,513263,True
4103,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",8/11/2020,57690,805069,False
4104,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,11/17/2005,381239,162204,False
4105,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1/13/2012,374359,300236,False
4106,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2/3/2015,746814,844731,False
4107,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,5/27/2001,199924,58488,True
4108,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",4/2/2019,57048,42959,False
4109,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,11/10/2021,652423,895675,True
4110,Fusce consequat. Nulla nisl. Nunc nisl.,6/3/2014,939297,363280,False
4111,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",12/4/2006,189314,361166,True
4112,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,10/12/2022,690863,220359,True
4113,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1/5/2019,965051,104633,False
4114,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",3/31/2009,528202,907768,False
4115,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,12/2/2005,860145,209801,False
4116,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",4/2/2020,177132,877042,False
4117,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,12/26/2018,304378,577412,False
4118,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2/3/2011,516146,451847,False
4119,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1/5/2004,275383,332627,True
4120,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,4/3/2010,94290,51454,False
4121,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",5/30/2023,901554,229295,False
4122,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,10/22/2021,903553,302790,False
4123,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1/6/2014,28890,344590,True
4124,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",1/14/2025,968985,295652,False
4125,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",9/25/2007,728064,629969,True
4126,In congue. Etiam justo. Etiam pretium iaculis justo.,8/16/2001,444507,995325,False
4127,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,2/12/2008,972704,949959,False
4128,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",11/23/2003,403542,314983,True
4129,Fusce consequat. Nulla nisl. Nunc nisl.,5/15/2005,73854,722506,True
4130,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",10/10/2014,248453,966652,False
4131,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,10/23/2011,406959,257839,False
4132,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,10/7/2003,900229,494435,True
4133,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1/12/2016,689366,638350,False
4134,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",7/23/2022,157815,902371,False
4135,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,4/23/2010,495511,389870,False
4136,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",11/29/2016,656489,392730,True
4137,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,12/3/2008,312686,990948,False
4138,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,8/23/2019,569504,174728,True
4139,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",8/17/2022,370080,66427,False
4140,In congue. Etiam justo. Etiam pretium iaculis justo.,3/8/2006,767589,205290,True
4141,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,12/23/2001,332826,551923,False
4142,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",8/20/2007,869138,126294,True
4143,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,4/28/2010,172894,376849,False
4144,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",4/13/2010,499002,244087,True
4145,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,3/26/2001,607547,877947,False
4146,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,8/18/2021,562751,357345,True
4147,Phasellus in felis. Donec semper sapien a libero. Nam dui.,12/20/2020,186279,867561,True
4148,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",7/1/2012,988657,499409,True
4149,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",9/30/2010,122265,404307,False
4150,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",5/5/2024,670478,879178,True
4151,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,6/18/2020,241880,920556,False
4152,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1/2/2009,647529,279592,False
4153,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",8/18/2000,779958,705064,False
4154,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",6/24/2008,691978,6605,False
4155,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",5/23/2024,665970,338929,False
4156,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,4/17/2009,626653,150552,True
4157,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",4/21/2013,212282,388666,True
4158,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",10/10/2000,431477,633299,True
4159,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,3/30/2024,483138,835997,True
4160,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,4/12/2013,40198,568042,False
4161,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",3/28/2007,231023,313141,True
4162,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,11/26/2016,332193,934188,True
4163,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2/27/2015,998527,381258,True
4164,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",6/4/2014,223886,183108,False
4165,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,11/7/2006,895137,172780,False
4166,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",6/17/2017,868694,647492,True
4167,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",12/21/2013,903796,857912,True
4168,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",7/8/2003,231756,80796,False
4169,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,9/12/2016,642487,811138,False
4170,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",10/24/2011,559496,575013,True
4171,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",12/12/2020,985255,944995,True
4172,In congue. Etiam justo. Etiam pretium iaculis justo.,4/3/2012,101279,792545,True
4173,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,6/18/2000,378053,724470,True
4174,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",6/16/2018,359489,25559,True
4175,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",12/4/2006,53207,405102,False
4176,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2/12/2018,336651,554812,True
4177,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,7/26/2000,775220,493886,True
4178,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",7/19/2011,772319,427118,True
4179,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,1/7/2018,883102,156696,False
4180,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,6/24/2021,753193,225566,False
4181,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",4/23/2015,968336,58523,False
4182,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",5/6/2012,814920,292962,True
4183,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",3/23/2003,134127,68168,True
4184,Sed ante. Vivamus tortor. Duis mattis egestas metus.,10/29/2016,379082,49250,True
